                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.436,                 1.3895,                 1.4068,                0.07301,                0.10833,                0.05163,                0.03314,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.4121,                 1.2959,                 1.3826,                0.06314,                0.09722,                0.05458,                0.03187,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.3621,                 1.4401,                 1.2872,                0.12293,                0.08333,                0.07102,                 0.0382,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4475,                 1.3034,                 1.3757,                0.25347,                0.06389,                0.06503,                0.03247,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.4022,                 1.2872,                  1.358,                0.06919,                  0.175,                0.05086,                0.02521,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.3875,                 1.2913,                  1.351,                0.08527,                0.14227,                0.04784,                 0.0223,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.4201,                 1.3072,                 1.3825,                 0.0793,                 0.1401,                 0.0364,                0.01789,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4122,                 1.2071,                 1.3706,                0.19127,                0.06389,                0.06511,                0.03303,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.4477,                 1.2471,                 1.3746,                0.06252,                0.11111,                0.06746,                0.04019,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3994,                 1.1775,                 1.3237,                0.07459,                0.14227,                0.08016,                0.04322,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.3959,                 1.2328,                 1.3221,                0.09203,                0.09722,                0.06168,                 0.0308,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.2892,                 1.1154,                 1.2777,                0.13032,                0.08056,                0.07314,                0.03988,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.2943,                 1.1702,                  1.311,                0.22977,                0.06389,                0.07183,                0.03987,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3384,                 1.1224,                 1.3133,                0.16973,                0.08056,                0.07985,                0.04831,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2894,                 1.1012,                 1.2823,                0.11369,                0.14167,                0.08822,                0.05168,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                  1.319,                 1.0557,                  1.289,                0.16167,                  0.125,                0.08156,                0.04069,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.2653,                 1.0774,                 1.2822,                0.07805,                0.15833,                0.06993,                0.03945,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.3119,                 1.1182,                 1.3034,                0.24663,                0.08056,                0.08774,                0.05539,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.2975,                 1.0973,                 1.2709,                0.11768,                0.15833,                0.07766,                0.04467,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                  1.289,                 1.1208,                 1.2721,                0.12617,                0.11389,                0.06796,                0.03355,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.2607,                  1.049,                 1.2799,                0.08851,                0.14444,                0.06664,                0.03781,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.2265,                 1.0314,                 1.2668,                0.09452,                0.13056,                0.07308,                0.04161,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.2607,                 1.0316,                 1.2583,                0.10043,                0.17621,                0.08569,                0.04851,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.2297,                 1.0149,                  1.255,                0.10095,                0.15894,                0.07372,                0.04234,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                  1.271,                 1.0178,                  1.247,                0.10182,                0.11389,                0.05299,                0.02732,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.2468,                0.98881,                 1.2494,                0.06254,                0.17283,                 0.0423,                0.02199,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.2278,                 1.0028,                 1.2468,                0.13563,                0.10894,                0.08054,                0.04147,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.2379,                0.97831,                 1.2432,                0.06792,                0.15894,                0.08333,                0.04604,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.1972,                0.98229,                  1.233,                0.10879,                0.23394,                0.12739,                0.06634,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                  1.201,                0.93758,                 1.2173,                0.09821,                0.14227,                0.07377,                0.03933,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.1854,                0.95978,                 1.2382,                0.10088,                0.14505,                0.08488,                0.04695,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.1168,                0.85778,                 1.1886,                0.06256,                0.17621,                 0.0586,                0.03285,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.1425,                 0.8939,                 1.1891,                0.07656,                0.14227,                0.06023,                0.03291,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                 1.1365,                0.89934,                 1.1845,                 0.1541,                0.06389,                0.07547,                0.04312,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.1754,                0.90786,                 1.2005,                0.15686,                0.06389,                0.07018,                0.03777,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1373,                0.91721,                 1.2029,                0.09929,                0.18732,                0.10813,                 0.0533,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.0871,                0.88264,                 1.1571,                0.09916,                0.14227,                0.08861,                 0.0469,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.0687,                 0.8495,                 1.1611,                 0.0721,                0.22065,                0.05639,                0.02832,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                  1.059,                0.84007,                 1.1615,                0.09445,                0.09444,                0.06594,                0.03635,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0777,                0.85933,                 1.1829,                0.10525,                0.06389,                0.05343,                0.03285,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0813,                0.83577,                 1.1631,                0.05398,                0.15676,                0.04424,                0.02542,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.0857,                0.88542,                 1.1624,                0.09957,                0.06389,                 0.0452,                0.02805,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.0581,                0.83243,                 1.1591,                0.06812,                0.11171,                0.05911,                0.03787,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                  1.011,                 0.8019,                 1.1258,                0.06539,                0.12838,                0.06064,                0.03551,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.0518,                0.80896,                 1.1529,                0.10272,                0.12838,                0.08014,                0.04425,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0767,                0.79014,                  1.201,                0.08245,                0.12838,                0.05129,                0.02681,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.0468,                 0.8092,                 1.1469,                0.07523,                0.17283,                0.05969,                0.03407,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                 1.0214,                0.80061,                 1.1341,                0.08148,                0.09722,                0.07202,                0.04381,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.0379,                0.76462,                 1.1214,                0.07188,                 0.1256,                0.07037,                0.04053,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                0.98507,                0.78372,                 1.1066,                0.07079,                0.12449,                0.06067,                0.03712,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.0297,                0.77673,                 1.1455,                0.07243,                0.11171,                 0.0645,                0.03821,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                0.95291,                0.74672,                 1.0999,                0.07911,                 0.1256,                0.06701,                0.04079,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.0041,                0.76505,                 1.1294,                0.09638,                0.13949,                0.07587,                0.04506,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                0.99219,                0.75483,                 1.1061,                0.08067,                 0.1256,                0.05874,                 0.0339,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                0.85975,                0.59521,                  1.042,                0.07647,                0.09722,                0.04891,                0.02484,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                0.85967,                0.60553,                 1.0452,                0.07724,                0.09722,                0.04899,                0.02554,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                0.86233,                0.56874,                 1.0357,                 0.0742,                0.09722,                0.04583,                0.02381,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.82765,                 0.5543,                 1.0298,                0.07766,                0.09722,                0.05086,                0.02799,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.88059,                0.58369,                 1.0863,                0.07913,                 0.1256,                0.04645,                0.02537,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.86033,                0.58456,                 1.0553,                0.07527,                0.09722,                0.03978,                0.02164,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.7806,                0.52158,                 1.0109,                0.05977,                0.11171,                0.03809,                0.01978,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.81769,                0.53701,                 1.0325,                0.06163,                0.11171,                0.03693,                0.01915,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7528,                0.50707,                 1.0084,                0.06013,                0.11171,                0.03827,                 0.0202,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.74041,                0.51921,                0.99767,                0.08277,                0.09649,                0.04105,                0.02104,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
