                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.434,                 1.3272,                 1.3579,                0.09253,                0.19414,                0.07463,                0.04103,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.4452,                 1.3002,                 1.3886,                0.18482,                0.25367,                0.14159,                0.07677,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.4615,                 1.2292,                 1.3764,                0.14294,                0.17296,                0.11705,                0.06278,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.4163,                 1.2421,                 1.3689,                0.16288,                0.25487,                0.13361,                0.07477,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.4212,                 1.2356,                 1.3633,                 0.1401,                0.27617,                0.18577,                 0.0929,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.4198,                 1.2711,                 1.3562,                 0.1724,                0.22998,                  0.148,                0.06717,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.4136,                 1.2109,                 1.3492,                0.13102,                0.22076,                 0.0922,                0.05138,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.4095,                 1.2126,                 1.3298,                0.09294,                0.24712,                0.07126,                0.03568,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.3865,                 1.1302,                 1.3334,                0.09936,                0.35324,                0.10666,                0.05368,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.3768,                 1.1669,                 1.3259,                  0.111,                0.20995,                0.09024,                0.04134,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.3281,                 1.1147,                 1.2973,                0.09903,                0.21925,                0.08652,                0.04444,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.3942,                 1.1467,                  1.346,                0.11475,                0.23657,                0.08138,                0.04033,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.3508,                 1.1003,                 1.3017,                0.10217,                0.22023,                0.09339,                0.04655,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.3452,                 1.1266,                 1.3175,                0.14671,                0.20118,                0.11128,                0.05783,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.3462,                 1.1183,                 1.3107,                0.10236,                0.19414,                0.08382,                0.04328,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.3171,                 1.0778,                 1.3062,                0.20493,                0.12894,                0.12249,                0.06756,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.3429,                 1.0901,                  1.302,                0.10374,                0.17607,                0.10401,                0.05722,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.3339,                 1.0839,                  1.305,                0.22034,                0.22256,                 0.1242,                0.06664,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.3117,                 1.0238,                 1.2917,                0.27544,                0.19312,                0.18804,                0.10231,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.2906,                 1.0259,                 1.2791,                0.10034,                0.19976,                 0.0698,                 0.0333,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.3405,                 1.0505,                  1.307,                0.16299,                0.19023,                0.11928,                 0.0603,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.3036,                 1.0587,                 1.3042,                0.14043,                0.18904,                0.10265,                0.05191,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.2658,                0.98559,                 1.2498,                0.17076,                0.19166,                0.13241,                0.06537,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.2832,                0.96895,                 1.2603,                0.10753,                0.23657,                0.07143,                0.03768,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.2898,                 1.0334,                 1.2752,                 0.1203,                0.22803,                0.09014,                0.04847,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.2634,                0.99731,                 1.2522,                0.12666,                0.21026,                0.10496,                0.05534,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.2501,                0.95293,                 1.2454,                0.16223,                0.17381,                0.10573,                0.05949,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.2311,                0.97653,                 1.2392,                0.10055,                0.25464,                0.07112,                0.03841,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.2599,                0.95883,                 1.2678,                0.08932,                0.21828,                0.06006,                0.03183,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.2413,                 0.9442,                 1.2459,                0.10905,                0.23755,                0.07551,                0.04057,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.2373,                0.92194,                 1.2304,                0.07127,                0.24512,                0.05505,                0.03065,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.2351,                0.93626,                 1.2403,                0.13786,                0.14113,                0.13506,                0.07624,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.2336,                0.92086,                 1.2361,                 0.1262,                0.21925,                0.08862,                0.04661,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                 1.2128,                0.88896,                 1.2151,                0.09667,                0.22146,                0.08037,                0.04382,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
